finalWorth,personName,age,country,industries,selfMade,status,gender,gdp_country,total_tax_rate_country,population_country
6200,Frits Goldschmeding,89,Netherlands,Service,TRUE,U,M,"$909,070,395,161 ",41.2,17332850
6200,Lin Muqin & family,59,China,Food & Beverage,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
6200,Ruan Liping,59,China,Manufacturing,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
6200,Ruan Xueping,51,China,Manufacturing,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
6200,Michal Solowow,60,Poland,Finance & Investments,TRUE,E,M,"$592,164,400,688 ",40.8,37970874
6100,Mike Adenuga,69,Nigeria,Diversified,TRUE,D,M,"$448,120,428,859 ",34.8,200963599
6100,Tom Gores,58,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6100,Michael Herz,79,Germany,Fashion & Retail,FALSE,U,M,"$3,845,630,030,824 ",48.8,83132799
6100,Wolfgang Herz,72,Germany,Fashion & Retail,FALSE,U,M,"$3,845,630,030,824 ",48.8,83132799
6000,Alexander Abramov,64,Russia,Metals & Mining,TRUE,U,M,"$1,699,876,578,871 ",46.2,144373535
6000,Rene Benko,46,Austria,Real Estate,TRUE,U,M,"$446,314,739,528 ",51.4,8877067
6000,Neil Bluhm,85,United States,Real Estate,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6000,Alain Bouchard,74,Canada,Fashion & Retail,TRUE,U,M,"$1,736,425,629,520 ",24.5,36991981
6000,Jay Chaudhry,63,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
6000,Gopikishan Damani,65,India,Fashion & Retail,TRUE,D,M,"$2,611,000,000,000 ",49.7,1366417754
6000,Sumet Jiaravanon,88,Thailand,Diversified,FALSE,U,M,"$543,649,976,166 ",29.5,69625582
6000,Frank Lowy,92,Israel,Finance & Investments,TRUE,D,M,"$395,098,666,122 ",25.3,9053300
6000,Michael Milken,76,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6000,David Steward,71,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6000,Les Wexner & family,85,United States,Fashion & Retail,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
5900,Cai Kui,60,China,Real Estate,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
5900,Jaran Chiaravanont,93,Thailand,Diversified,FALSE,U,M,"$543,649,976,166 ",29.5,69625582
5900,Andreas Halvorsen,61,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
5900,Antony Ressler,62,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
5900,Tsai Eng-meng,66,China,Food & Beverage,FALSE,D,M,"$19,910,000,000,000 ",59.2,1397715000
5800,Josh Harris,58,United States,Finance & Investments,TRUE,E,M,"$21,427,700,000,000 ",36.6,328239523
5800,Niels Peter Louis-Hansen,75,Denmark,Healthcare,FALSE,D,M,"$348,078,018,464 ",23.8,5818553
5800,Patrick Soon-Shiong,70,United States,Healthcare,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
5700,Rinat Akhmetov,56,Ukraine,Metals & Mining,TRUE,U,M,"$153,781,069,118 ",45.2,44385155
5700,John Brown,88,United States,Healthcare,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
5700,Arthur Irving,93,Canada,Energy,FALSE,U,M,"$1,736,425,629,520 ",24.5,36991981
5700,Fredrik Lundberg,71,Sweden,Real Estate,FALSE,D,M,"$530,832,908,738 ",49.1,10285453
5700,Thomas Schmidheiny,77,Switzerland,Construction & Engineering,FALSE,U,M,"$703,082,435,360 ",28.8,8574832
5700,Daniel Ziff,51,United States,Finance & Investments,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5700,Dirk Ziff,59,United States,Finance & Investments,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5700,Robert Ziff,56,United States,Finance & Investments,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5600,Maria Angelicoussis,41,Greece,Logistics,FALSE,N,F,"$209,852,761,469 ",51.9,10716322
5600,Ray Lee Hunt,79,United States,Energy,FALSE,D,M,"$21,427,700,000,000 ",36.6,328239523
5600,Lai Meisong,52,China,Logistics,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
5600,Vikram Lal & family,81,India,Automotive,FALSE,U,M,"$2,611,000,000,000 ",49.7,1366417754
5600,Ken Langone,87,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
5600,Li Ge,56,China,Healthcare,TRUE,Split Family Fortune,M,"$19,910,000,000,000 ",59.2,1397715000
5600,Karen Pritzker,65,United States,Finance & Investments,FALSE,D,F,"$21,427,700,000,000 ",36.6,328239523
5600,Robert Rowling,69,United States,Service,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5600,Teddy Sagi,51,Israel,Gambling & Casinos,TRUE,E,M,"$395,098,666,122 ",25.3,9053300
5600,Seo Jung-jin,65,South Korea,Healthcare,TRUE,D,M,"$2,029,000,000,000 ",33.2,51709098
5600,Wu Jianshu,59,China,Automotive,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
5500,Micky Arison,73,United States,Service,FALSE,D,M,"$21,427,700,000,000 ",36.6,328239523
5500,James Chambers,65,United States,Media & Entertainment,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5500,John Collison,32,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
5500,Patrick Collison,34,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
5500,Archie Aldis Emmerson & family,93,United States,Manufacturing,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
5500,Piero Ferrari,77,Italy,Automotive,FALSE,U,M,"$2,001,244,392,042 ",59.1,60297396
5500,Dan Friedkin,58,United States,Automotive,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5500,James Irving,95,Canada,Diversified,FALSE,U,M,"$1,736,425,629,520 ",24.5,36991981
5500,Jiang Weiping & family,68,China,Manufacturing,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
5500,Wolfgang Marguerre & family,81,Germany,Healthcare,TRUE,U,M,"$3,845,630,030,824 ",48.8,83132799
5500,Ludwig Merckle,58,Germany,Finance & Investments,FALSE,D,M,"$3,845,630,030,824 ",48.8,83132799
5500,Mitchell Rales,66,United States,Manufacturing,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
5500,Katharine Rayner,78,United States,Media & Entertainment,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
5500,Paul Singer,78,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
5500,Sergio Stevanato & family,80,Italy,Healthcare,TRUE,U,M,"$2,001,244,392,042 ",59.1,60297396
5500,Margaretta Taylor,80,United States,Media & Entertainment,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
5500,Richard White,68,Australia,Technology,TRUE,U,M,"$1,392,680,589,329 ",47.4,25766605
5500,Zhao Yan,56,China,Diversified,TRUE,D,F,"$19,910,000,000,000 ",59.2,1397715000
5400,Patrizio Bertelli,77,Italy,Fashion & Retail,TRUE,U,M,"$2,001,244,392,042 ",59.1,60297396
5400,Mahendra Choksi & family,81,India,Manufacturing,FALSE,D,M,"$2,611,000,000,000 ",49.7,1366417754
5400,Mat Ishbia,43,United States,Finance & Investments,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
5400,Leo Koguan,68,Singapore,Technology,TRUE,D,M,"$372,062,527,489 ",21,5703569
5400,Miao Hangen,58,China,Diversified,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
5400,Michael Pieper,77,Switzerland,Manufacturing,TRUE,U,M,"$703,082,435,360 ",28.8,8574832
